,DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry
1222819,4449605_00914,Male,White,49.0,Cuba,Cook,Yes,Yes,,SouthAmerica,workers
1223034,4449605_00927,Male,Black,40.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1223045,4449605_00928,Male,Black,32.0,West Indies,Tailor,Yes,Yes,,SouthAmerica,Proprietor
1223126,4449605_00922,Male,Black,27.0,West Indies,Tailor,Yes,Yes,,SouthAmerica,Proprietor
1223133,4449605_00922,Female,Black,24.0,Canada,Dressmaker,Yes,Yes,,NorthAmerica,Proprietor
1223715,4449605_00838,Female,Mulatto,24.0,Canada,Cook,Yes,Yes,,NorthAmerica,workers
1223760,4449605_00841,Male,White,37.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
1223765,4449605_00841,Male,White,28.0,Canada,Carpenter,Yes,Yes,,NorthAmerica,Proprietor
1223897,4449605_00834,Female,White,45.0,Canada,Dressmaker,Yes,Yes,,NorthAmerica,Proprietor
1223975,4449605_00837,Male,White,22.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
1223994,4449605_00837,Male,White,19.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
1224171,4449605_00816,Male,White,32.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1224394,4449605_00825,Male,White,38.0,Canada,Machinist,Yes,Yes,,NorthAmerica,engineer
1224395,4449605_00824,Male,White,39.0,Canada,Machinist,Yes,Yes,,NorthAmerica,engineer
1224403,4449605_00825,Male,White,30.0,Canada,Driver,Yes,Yes,,NorthAmerica,servant
1224460,4449605_00824,Male,White,40.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1224561,4449605_00823,Male,White,30.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
1224607,4449605_00821,Male,White,33.0,Canada,Carpenter,Yes,Yes,,NorthAmerica,Proprietor
1224655,4449605_00823,Male,White,29.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1224808,4449605_00863,Male,White,36.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1225033,4449605_00862,Male,White,19.0,Cuba,Waiter,Yes,Yes,No,SouthAmerica,servant
1225651,4449605_00843,Male,White,30.0,Canada,Packer,Yes,Yes,,NorthAmerica,workers
1226509,4449360_00671,Female,White,28.0,Canada,Cook,Yes,Yes,,NorthAmerica,workers
1226947,4449360_00652,Female,Black,31.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1227112,4449360_00644,Male,Japanese,28.0,Japan,Servant,Yes,Yes,,Aisa,servant
1227188,4449360_00645,Male,Japanese,27.0,Japan,Cook,Yes,Yes,,Aisa,workers
1227214,4449360_00648,Male,White,34.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1227822,4449360_00705,Male,Chinese,23.0,China,Servant,Yes,Yes,,Aisa,servant
1227979,4449360_00705,Male,Chinese,53.0,China,Cook,Yes,Yes,,Aisa,workers
1228448,4449360_00692,Male,Japanese,23.0,Japan,Cook,Yes,Yes,,Aisa,workers
1228675,4449360_00691,Male,Japanese,20.0,Japan,Cook,Yes,Yes,No,Aisa,workers
1228836,4449360_00701,Male,White,22.0,Japan,Cook,Yes,Yes,,Aisa,workers
1229244,4449360_00598,Male,Black,33.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1229293,4449360_00594,Female,Mulatto,22.0,Canada,Servant,Yes,Yes,,NorthAmerica,servant
1229313,4449360_00594,Male,Black,48.0,Africa,Cook,Yes,Yes,,Africa,workers
1229321,4449360_00593,Male,Mulatto,45.0,Canada,Waiter,,,,NorthAmerica,servant
1229700,4449360_00603,Male,White,20.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker
1229943,4449360_00585,Male,White,34.0,Cuba,Waiter,Yes,Yes,,SouthAmerica,servant
1230141,4449360_00580,Female,Black,40.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1230142,4449360_00580,Female,Black,46.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1230143,4449360_00580,Female,Black,27.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1230155,4449360_00580,Female,White,53.0,Canada,Servant,No,No,,NorthAmerica,servant
1230189,4449360_00590,Male,Mulatto,26.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1230265,4449360_00590,Male,Black,28.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1230336,4449360_00591,Male,Mulatto,25.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1230421,4449360_00585,Female,Mulatto,43.0,Canada,Dressmaker,Yes,Yes,,NorthAmerica,Proprietor
1230606,4449360_00633,Female,Mulatto,26.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1230624,4449360_00633,Female,Mulatto,44.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers
1230738,4449360_00630,Male,Japanese,24.0,Japan,Cook,Yes,Yes,,Aisa,workers
1230800,4449360_00627,Male,Mulatto,28.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant
1230913,4449360_00641,Female,Mulatto,45.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers
1231260,4449360_00638,Male,Black,26.0,West Indies,Tailor,Yes,Yes,,SouthAmerica,Proprietor
1231279,4449360_00615,Female,Black,29.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant
1231432,4449360_00616,Male,White,23.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1231858,4449360_00618,Male,White,24.0,Canada,Baker,Yes,Yes,,NorthAmerica,Proprietor
